Position,Competitor,Country,Points,Gap
1,Stefan Kraft,austria,1659,
2,Karl Geiger,niemcy,1519,-140
3,Ryoyu Kobayashi,japonia,1178,-481
4,Dawid Kubacki,polska,1169,-490
5,Kamil Stoch,polska,1031,-628
6,Stephan Leyhe,niemcy,917,-742
7,Marius Lindvik,norwegia,906,-753
8,Peter Prevc,slowenia,789,-870
9,Daniel Andre Tande,norwegia,721,-938
10,Philipp Aschenwald,austria,622,-1037
11,Piotr Żyła,polska,617,-1042
12,Johann Andre Forfang,norwegia,579,-1080
13,Yukiya Sato,japonia,559,-1100
14,Timi Zajc,slowenia,544,-1115
15,Anze Lanisek,slowenia,543,-1116
16,Constantin Schmid,niemcy,530,-1129
17,Robert Johansson,norwegia,503,-1156
18,Daniel Huber,austria,417,-1242
19,Domen Prevc,slowenia,361,-1298
20,Gregor Schlierenzauer,austria,356,-1303
21,Pius Paschke,niemcy,353,-1306
22,Michael Hayboeck,austria,350,-1309
23,Markus Eisenbichler,niemcy,304,-1355
24,Daiki Ito,japonia,285,-1374
25,Killian Peier,szwajcaria,237,-1422
26,Roman Koudelka,czechy,220,-1439
27,Jan Hoerl,austria,210,-1449
28,Ziga Jelar,slowenia,200,-1459
29,Robin Pedersen,norwegia,181,-1478
30,Junshiro Kobayashi,japonia,162,-1497
31,Evgenii Klimov,rosja,140,-1519
32,Antti Aalto,finlandia,133,-1526
33,Cene Prevc,slowenia,112,-1547
34,Keiichi Sato,japonia,109,-1550
35,Simon Ammann,szwajcaria,81,-1578
36,Thomas Aasen Markeng,norwegia,80,-1579
37,Anze Semenic,slowenia,60,-1599
38,Jakub Wolny,polska,58,-1601
39,Stefan Huber,austria,57,-1602
40,Rok Justin,slowenia,52,-1607
41,Vladimir Zografski,bulgaria,48,-1611
42,Maciej Kot,polska,40,-1619
43,Naoki Nakamura,japonia,39,-1620
44,Richard Freitag,niemcy,37,-1622
45,Anders Haare,norwegia,35,-1624
46,Stefan Hula,polska,31,-1628
47,Taku Takeuchi,japonia,28,-1631
48,Moritz Baer,niemcy,24,-1635
49,Jurij Tepes,slowenia,21,-1638
50,Mackenzie Boyd-Clowes,kanada,20,-1639
51,Aleksander Zniszczoł,polska,18,-1641
,Gregor Deschwanden,szwajcaria,18,-1641
53,Viktor Polasek,czechy,15,-1644
54,Yuken Iwasa,japonia,14,-1645
,Kevin Bickner,usa,14,-1645
56,Sergey Tkachenko,kazachstan,13,-1646
57,Artti Aigro,estonia,11,-1648
58,Niko Kytosaho,finlandia,10,-1649
,Dominik Peter,szwajcaria,10,-1649
60,Marco Woergoetter,austria,9,-1650
61,Halvor Egner Granerud,norwegia,8,-1651
,Luca Roth,niemcy,8,-1651
,Klemens Murańka,polska,8,-1651
64,Andreas Granerud Buskum,norwegia,6,-1653
,Clemens Leitner,austria,6,-1653
66,Andreas Schuler,szwajcaria,5,-1654
,Dmitriy Vassiliev,rosja,5,-1654
,Clemens Aigner,austria,5,-1654
69,Roman Trofimov,rosja,3,-1656
,Tilen Bartol,slowenia,3,-1656
,Sondre Ringen,norwegia,3,-1656
,Hiroaki Watanabe,japonia,3,-1656
73,Severin Freund,niemcy,2,-1657
,Shohei Tochimoto,japonia,2,-1657
