Position,Competitor,Country,Points,Gap
1,Janne Ahonen,finlandia,1715,
2,Roar Ljoekelsoey,norwegia,1440,-275
3,Matti Hautamäki,finlandia,1275,-440
4,Adam Małysz,polska,1201,-514
5,Martin Höllwarth,austria,1179,-536
6,Jakub Janda,czechy,1164,-551
7,Thomas Morgenstern,austria,1138,-577
8,Andreas Widhölzl,austria,999,-716
9,Michael Uhrmann,niemcy,804,-911
10,Lars Bystoel,norwegia,613,-1102
11,Georg Späth,niemcy,559,-1156
12,Risto Jussilainen,finlandia,526,-1189
13,Daiki Ito,japonia,511,-1204
14,Bjoern Einar Romoeren,norwegia,467,-1248
15,Jernej Damjan,slowenia,451,-1264
16,Noriaki Kasai,japonia,416,-1299
17,Andreas Küttel,szwajcaria,395,-1320
18,Wolfgang Loitzl,austria,350,-1365
19,Rok Benkovic,slowenia,335,-1380
20,Sigurd Pettersen,norwegia,314,-1401
21,Henning Stensrud,norwegia,275,-1440
22,Michael Neumayer,niemcy,259,-1456
23,Simon Ammann,szwajcaria,243,-1472
24,Alexander Herr,niemcy,233,-1482
25,Tommy Ingebrigtsen,norwegia,224,-1491
26,Michael Möllinger,szwajcaria,205,-1510
27,Stephan Hocke,niemcy,183,-1532
28,Daniel Forfang,norwegia,178,-1537
29,Dmitriy Vassiliev,rosja,163,-1552
30,Kazuyoshi Funaki,japonia,133,-1582
31,Florian Liegl,austria,129,-1586
32,Jörg Ritzerfeld,niemcy,109,-1606
33,Tami Kiuru,finlandia,108,-1607
34,Primoz Peterka,slowenia,104,-1611
35,Hideharu Miyahira,japonia,97,-1618
36,Andreas Goldberger,austria,94,-1621
37,Martin Schmitt,niemcy,90,-1625
38,Robert Mateja,polska,87,-1628
39,Jure Bogataj,slowenia,85,-1630
40,Andreas Kofler,austria,82,-1633
41,Morten Solem,norwegia,80,-1635
42,Akira Higashi,japonia,77,-1638
43,Peter Zonta,slowenia,74,-1641
44,Jan Matura,czechy,66,-1649
45,Robert Kranjec,slowenia,65,-1650
46,Maximilian Mechler,niemcy,62,-1653
47,Jussi Hautamäki,finlandia,61,-1654
48,Martin Koch,austria,60,-1655
49,Takanobu Okabe,japonia,57,-1658
50,Ferdinand Bader,niemcy,48,-1667
51,Kimmo Yliriesto,finlandia,45,-1670
52,Balthasar Schneider,austria,43,-1672
53,Kamil Stoch,polska,36,-1679
54,Anders Bardal,norwegia,28,-1687
55,Christian Bruder,niemcy,25,-1690
56,Denis Kornilov,rosja,23,-1692
,Janne Happonen,finlandia,23,-1692
58,Hiroki Yamada,japonia,22,-1693
,Nicolas Dessum,francja,22,-1693
,Kalle Keituri,finlandia,22,-1693
61,Dimitry Ipatov,rosja,21,-1694
62,Ildar Fatchullin,rosja,20,-1695
63,Tsuyoshi Ichinohe,japonia,19,-1696
64,Antonin Hajek,czechy,17,-1698
,Stefan Kaiser,austria,17,-1698
,Akseli Kokkonen,finlandia,17,-1698
67,Emmanuel Chedal,francja,15,-1700
,Clint Jones,usa,15,-1700
69,Yusuke Kaneko,japonia,14,-1701
70,Fumihisa Yumoto,japonia,12,-1703
,Radik Zhaparov,kazachstan,12,-1703
72,Bine Zupan,slowenia,11,-1704
,Stefano Chiapolino,wlochy,11,-1704
74,Reinhard Schwarzenberger,austria,10,-1705
75,Jan Mazoch,czechy,9,-1706
,Heung Chul Choi,korea,9,-1706
77,Veli-Matti Lindström,finlandia,8,-1707
,Kazuya Yoshioka,japonia,8,-1707
79,Joonas Ikonen,finlandia,6,-1709
80,Pekka Salminen,finlandia,5,-1710
,Jon Aaraas,norwegia,5,-1710
82,Yukio Sakano,japonia,4,-1711
,Kai Bracht,niemcy,4,-1711
,Johan Erikson,szwecja,4,-1711
85,Marcin Bachleda,polska,3,-1712
,Hyun-Ki Kim,korea,3,-1712
,Krystian Długopolski,polska,3,-1712
88,Jaan Juris,estonia,2,-1713
,Maksim Anisimov,bialorus,2,-1713
,Primoz Pikl,slowenia,2,-1713
91,Roland Mueller,austria,1,-1714
,Stefan Pieper,niemcy,1,-1714
,Alan Alborn,usa,1,-1714
,Ivan Karaulov,kazachstan,1,-1714
