Position,Competitor,Country,Points,Gap
1,Stefan Kraft,austria,1665,
2,Kamil Stoch,polska,1524,-141
3,Daniel Andre Tande,norwegia,1201,-464
4,Andreas Wellinger,niemcy,1161,-504
5,Maciej Kot,polska,985,-680
6,Domen Prevc,slowenia,963,-702
7,Michael Hayboeck,austria,814,-851
8,Markus Eisenbichler,niemcy,807,-858
9,Peter Prevc,slowenia,716,-949
10,Manuel Fettner,austria,703,-962
11,Piotr Żyła,polska,634,-1031
12,Andreas Stjernen,norwegia,591,-1074
13,Richard Freitag,niemcy,507,-1158
14,Robert Johansson,norwegia,424,-1241
15,Noriaki Kasai,japonia,401,-1264
16,Vincent Descombes Sevoie,francja,386,-1279
17,Evgenii Klimov,rosja,382,-1283
18,Karl Geiger,niemcy,369,-1296
19,Dawid Kubacki,polska,345,-1320
20,Jurij Tepes,slowenia,326,-1339
21,Severin Freund,niemcy,309,-1356
22,Stephan Leyhe,niemcy,308,-1357
23,Andreas Kofler,austria,307,-1358
24,Daiki Ito,japonia,294,-1371
25,Roman Koudelka,czechy,223,-1442
26,Anders Fannemel,norwegia,213,-1452
27,Johann Andre Forfang,norwegia,197,-1468
28,Jernej Damjan,slowenia,149,-1516
29,Simon Ammann,szwajcaria,147,-1518
30,Taku Takeuchi,japonia,130,-1535
31,Jan Ziobro,polska,122,-1543
32,Stefan Hula,polska,110,-1555
33,Anze Lanisek,slowenia,98,-1567
34,Gregor Schlierenzauer,austria,94,-1571
35,Andreas Wank,niemcy,90,-1575
36,Vojtech Stursa,czechy,88,-1577
37,Markus Schiffner,austria,81,-1584
38,Jakub Janda,czechy,80,-1585
39,Denis Kornilov,rosja,77,-1588
40,Cene Prevc,slowenia,67,-1598
41,Mackenzie Boyd-Clowes,kanada,52,-1613
42,Halvor Egner Granerud,norwegia,50,-1615
,Clemens Aigner,austria,50,-1615
,Kevin Bickner,usa,50,-1615
45,Anze Semenic,slowenia,41,-1624
46,Sebastian Colloredo,wlochy,33,-1632
47,Viktor Polasek,czechy,31,-1634
,Tomas Vancura,czechy,31,-1634
49,Lukas Hlava,czechy,26,-1639
50,Jarkko Maatta,finlandia,24,-1641
,Janne Ahonen,finlandia,24,-1641
52,Joakim Aune,norwegia,23,-1642
53,Alex Insam,wlochy,22,-1643
54,Junshiro Kobayashi,japonia,20,-1645
55,Alexey Romashov,rosja,17,-1648
56,Ville Larinto,finlandia,16,-1649
,Tom Hilde,norwegia,16,-1649
58,Dmitriy Vassiliev,rosja,15,-1650
,Stefan Huber,austria,15,-1650
60,Davide Bresadola,wlochy,14,-1651
61,David Siegel,niemcy,12,-1653
62,Kento Sakuyama,japonia,9,-1656
,Aleksander Zniszczoł,polska,9,-1656
64,Gregor Deschwanden,szwajcaria,8,-1657
65,Florian Altenburger,austria,4,-1661
,Klemens Murańka,polska,4,-1661
67,Bor Pavlovcic,slowenia,3,-1662
,Michael Glasder,usa,3,-1662
69,Elias Tollinger,austria,2,-1663
,Kaarel Nurmsalu,estonia,2,-1663
71,Gabriel Karlen,szwajcaria,1,-1664
,Daniel Huber,austria,1,-1664
,Yuken Iwasa,japonia,1,-1664
