Position,Competitor,Country,Points,Gap
1,Martin Schmitt,niemcy,1833,
2,Andreas Widhölzl,austria,1452,-381
3,Janne Ahonen,finlandia,1437,-396
4,Sven Hannawald,niemcy,1065,-768
5,Andreas Goldberger,austria,1034,-799
6,Ville Kantee,finlandia,836,-997
7,Jani Soininen,finlandia,734,-1099
8,Risto Jussilainen,finlandia,675,-1158
9,Stefan Horngacher,austria,624,-1209
10,Hideharu Miyahira,japonia,567,-1266
11,Masahiko Harada,japonia,545,-1288
12,Lasse Ottesen,norwegia,535,-1298
13,Tommy Ingebrigtsen,norwegia,494,-1339
14,Kazuyoshi Funaki,japonia,475,-1358
15,Noriaki Kasai,japonia,436,-1397
16,Martin Höllwarth,austria,347,-1486
17,Matti Hautamäki,finlandia,341,-1492
18,Michael Uhrmann,niemcy,283,-1550
19,Nicolas Dessum,francja,282,-1551
20,Hiroya Saitoh,japonia,264,-1569
21,Hansjörg Jäkle,niemcy,262,-1571
22,Wolfgang Loitzl,austria,251,-1582
23,Roberto Cecon,wlochy,236,-1597
24,Peter Zonta,slowenia,234,-1599
25,Mika Laitinen,finlandia,232,-1601
26,Jussi Hautamäki,finlandia,230,-1603
27,Michal Dolezal,czechy,220,-1613
28,Adam Małysz,polska,214,-1619
29,Roar Ljoekelsoey,norwegia,213,-1620
30,Reinhard Schwarzenberger,austria,208,-1625
31,Frank Löffler,niemcy,193,-1640
32,Kazuki Nishishita,japonia,172,-1661
33,Takanobu Okabe,japonia,130,-1703
34,Gerd Siegmund,niemcy,114,-1719
35,Alexander Herr,niemcy,109,-1724
36,Henning Stensrud,norwegia,96,-1737
37,Tami Kiuru,finlandia,93,-1740
38,Wojciech Skupień,polska,86,-1747
39,Pekka Salminen,finlandia,81,-1752
40,Marco Steinauer,szwajcaria,75,-1758
41,Damjan Fras,slowenia,74,-1759
42,Dmitriy Vassiliev,rosja,67,-1766
43,Bernhard Metzler,austria,53,-1780
44,Robert Mateja,polska,52,-1781
45,Simon Ammann,szwajcaria,46,-1787
,Morten Aagheim,norwegia,46,-1787
,Heung Chul Choi,korea,46,-1787
48,Jerome Gay,francja,45,-1788
49,Christof Duffner,niemcy,37,-1796
,Ivan Lunardi,wlochy,37,-1796
,Primoz Zupan-Urh,slowenia,37,-1796
,Martin Koch,austria,37,-1796
53,Sylvain Freiholz,szwajcaria,35,-1798
54,Alan Alborn,usa,34,-1799
55,Bruno Reuteler,szwajcaria,33,-1800
56,Jakub Hlava,czechy,32,-1801
57,Andreas Küttel,szwajcaria,26,-1807
58,Bine Norcic,slowenia,23,-1810
59,Thomas Hörl,austria,22,-1811
60,Blaz Vrhovnik,slowenia,21,-1812
61,Kazuya Yoshioka,japonia,20,-1813
62,Ronny Hornschuh,niemcy,19,-1814
63,Łukasz Kruczek,polska,18,-1815
64,Yuta Watase,japonia,16,-1817
65,Arne Sneli,norwegia,15,-1818
66,Jakub Suchacek,czechy,14,-1819
67,Jaroslav Sakala,czechy,13,-1820
,Primoz Peterka,slowenia,13,-1820
69,Fabian Ebenhoch,austria,10,-1823
70,Emmanuel Chedal,francja,8,-1825
,David Andersen,norwegia,8,-1825
,Jakub Janda,czechy,8,-1825
73,Olav Magne Dönnem,norwegia,6,-1827
,Jon Petter Sandaker,norwegia,6,-1827
75,Brendan Doran,usa,5,-1828
76,Hyun-Ki Kim,korea,4,-1829
,Tore S. Sneli,norwegia,4,-1829
78,Kazuhiro Nakamura,japonia,3,-1830
79,Espen Bredesen,norwegia,1,-1832
,Reinhard Eberl,austria,1,-1832
,Wilhelm Brenna,norwegia,1,-1832
