Position,Competitor,Country,Points,Gap
1,Andreas Goldberger,austria,1416,
2,Ari-Pekka Nikkola,finlandia,1384,-32
3,Janne Ahonen,finlandia,1054,-362
4,Jens Weissflog,niemcy,1028,-388
5,Masahiko Harada,japonia,982,-434
6,Mika Laitinen,finlandia,914,-502
7,Adam Małysz,polska,751,-665
8,Hiroya Saitoh,japonia,747,-669
9,Reinhard Schwarzenberger,austria,724,-692
10,Primoz Peterka,slowenia,670,-746
11,Jani Soininen,finlandia,630,-786
12,Jinya Nishikata,japonia,623,-793
13,Espen Bredesen,norwegia,592,-824
14,Christof Duffner,niemcy,505,-911
15,Roar Ljoekelsoey,norwegia,501,-915
16,Erik Halvorsen,norwegia,417,-999
17,Marco Steinauer,szwajcaria,415,-1001
18,Jaroslav Sakala,czechy,367,-1049
19,Ralph Gebstedt,niemcy,342,-1074
20,Andreas Widhölzl,austria,322,-1094
21,Kimmo Savolainen,finlandia,308,-1108
22,Nicolas Jean-Prost,francja,296,-1120
23,Sylvain Freiholz,szwajcaria,292,-1124
24,Kenji Suda,japonia,253,-1163
25,Dieter Thoma,niemcy,249,-1167
26,Martin Höllwarth,austria,244,-1172
27,Lasse Ottesen,norwegia,233,-1183
28,Frantisek Jez,czechy,226,-1190
29,Naoki Yasuzaki,japonia,214,-1202
30,Urban Franc,slowenia,207,-1209
31,Sturle Holseter,norwegia,199,-1217
32,Andreas Küttel,szwajcaria,181,-1235
33,Kazuyoshi Funaki,japonia,151,-1265
34,Gerd Siegmund,niemcy,150,-1266
35,Stefan Horngacher,austria,134,-1282
36,Noriaki Kasai,japonia,132,-1284
37,Bruno Reuteler,szwajcaria,123,-1293
38,Kent Johanssen,norwegia,122,-1294
39,Takanobu Okabe,japonia,115,-1301
40,Janne Vaeaetaeinen,finlandia,113,-1303
41,Robert Meglic,slowenia,108,-1308
42,Didier Mollard,francja,105,-1311
43,Yukitaka Fukita,japonia,100,-1316
44,Jakub Suchacek,czechy,98,-1318
45,Roberto Cecon,wlochy,90,-1326
46,Samo Gostisa,slowenia,77,-1339
,Nicolas Dessum,francja,77,-1339
48,Wojciech Skupień,polska,75,-1341
49,Naoto Ito,japonia,74,-1342
50,Matthias Wallner,austria,73,-1343
,Michael Uhrmann,niemcy,73,-1343
52,Randy Weber,usa,66,-1350
53,Arve Vorvik,norwegia,58,-1358
,Oeyvind Berg,norwegia,58,-1358
55,Marian Bielcik,slowacja,56,-1360
56,Jun Shibuya,japonia,53,-1363
57,Tommy Ingebrigtsen,norwegia,50,-1366
58,Martin Trunz,szwajcaria,49,-1367
59,Matjaz Kladnik,slowenia,46,-1370
60,Tero Koponen,finlandia,34,-1382
61,Rico Meinel,niemcy,32,-1384
,Kazuhiro Higashi,japonia,32,-1384
63,Stein-Henrik Tuff,norwegia,28,-1388
64,Hansjörg Jäkle,niemcy,27,-1389
65,Jure Radelj,slowenia,24,-1392
66,Akira Higashi,japonia,22,-1394
67,Frank Reichel,niemcy,20,-1396
,Jani Klinga,finlandia,20,-1396
69,Jakub Jiroutek,czechy,19,-1397
,Yoshikazu Norota,japonia,19,-1397
,Peter Zonta,slowenia,19,-1397
72,Jaroslav Kahanek,czechy,17,-1399
73,Jiri Parma,czechy,16,-1400
,Noritaka Kasama,japonia,16,-1400
75,Jussi Hautamäki,finlandia,13,-1403
,Michal Dolezal,czechy,13,-1403
,Alexander Herr,niemcy,13,-1403
78,Masayuki Sato,japonia,12,-1404
79,Katsutoshi Chiba,japonia,11,-1405
,Yannick Revuz,francja,11,-1405
81,Karl-Heinz Dorner,austria,10,-1406
82,Ingemar Mayr,austria,9,-1407
83,Simen Brentzen,norwegia,8,-1408
84,Michael Kury,austria,7,-1409
,Tero Turkki,finlandia,7,-1409
,Magnus Oeverby,norwegia,7,-1409
,Kristian Brenden,norwegia,7,-1409
88,Hitoshi Sakurai,japonia,6,-1410
,Marek Gwóźdź,polska,6,-1410
90,Paal Hansen,norwegia,5,-1411
,Gerhard Schallert,austria,5,-1411
92,Johan Rasmussen,szwecja,4,-1412
93,Robert Chlup,czechy,3,-1413
94,Toni Nieminen,finlandia,2,-1414
,Martin Skotak,czechy,2,-1414
96,Frode Haare,norwegia,1,-1415
,Fredrik Johansson,szwecja,1,-1415
,Volodimir Glyvko,ukraina,1,-1415
