Position,Competitor,Country,Points,Gap
1,Adam Małysz,polska,1453,
2,Anders Jacobsen,norwegia,1319,-134
3,Simon Ammann,szwajcaria,1167,-286
4,Gregor Schlierenzauer,austria,956,-497
5,Andreas Küttel,szwajcaria,804,-649
6,Thomas Morgenstern,austria,756,-697
7,Andreas Kofler,austria,727,-726
8,Janne Ahonen,finlandia,539,-914
9,Matti Hautamäki,finlandia,526,-927
10,Michael Uhrmann,niemcy,524,-929
11,Dmitriy Vassiliev,rosja,523,-930
12,Martin Koch,austria,521,-932
13,Wolfgang Loitzl,austria,476,-977
14,Roar Ljoekelsoey,norwegia,474,-979
15,Arttu Lappi,finlandia,466,-987
16,Anders Bardal,norwegia,418,-1035
17,Martin Schmitt,niemcy,355,-1098
18,Martin Höllwarth,austria,284,-1169
19,Denis Kornilov,rosja,282,-1171
20,Tom Hilde,norwegia,281,-1172
21,Dimitry Ipatov,rosja,260,-1193
22,Jakub Janda,czechy,253,-1200
23,Jernej Damjan,slowenia,225,-1228
24,Sigurd Pettersen,norwegia,210,-1243
25,Jörg Ritzerfeld,niemcy,187,-1266
26,Noriaki Kasai,japonia,182,-1271
27,Robert Kranjec,slowenia,179,-1274
28,Harri Olli,finlandia,176,-1277
29,Bjoern Einar Romoeren,norwegia,174,-1279
30,Kamil Stoch,polska,168,-1285
31,Mario Innauer,austria,161,-1292
32,Antonin Hajek,czechy,160,-1293
33,Andreas Widhölzl,austria,158,-1295
34,Veli-Matti Lindström,finlandia,130,-1323
35,Arthur Pauli,austria,118,-1335
36,Rok Urbanc,slowenia,114,-1339
37,Primoz Pikl,slowenia,110,-1343
38,Andrea Morassi,wlochy,97,-1356
39,Roman Koudelka,czechy,87,-1366
40,Tami Kiuru,finlandia,74,-1379
41,Janne Happonen,finlandia,68,-1385
42,Morten Solem,norwegia,63,-1390
43,Balthasar Schneider,austria,59,-1394
44,David Lazzaroni,francja,56,-1397
45,Henning Stensrud,norwegia,55,-1398
,Radik Zhaparov,kazachstan,55,-1398
47,Christian Ulmer,niemcy,54,-1399
48,Manuel Fettner,austria,48,-1405
49,Sebastian Colloredo,wlochy,47,-1406
50,Michael Neumayer,niemcy,45,-1408
51,Guido Landert,szwajcaria,43,-1410
52,Takanobu Okabe,japonia,42,-1411
53,Ilja Rosliakov,rosja,41,-1412
54,Lauri Hakola,finlandia,35,-1418
55,Piotr Żyła,polska,34,-1419
,Jussi Hautamäki,finlandia,34,-1419
57,Jan Matura,czechy,33,-1420
58,Kalle Keituri,finlandia,29,-1424
59,Michael Möllinger,szwajcaria,28,-1425
60,Stefan Hula,polska,26,-1427
,Daiki Ito,japonia,26,-1427
,Vincent Descombes Sevoie,francja,26,-1427
63,Andreas Aren,szwecja,21,-1432
,Rok Benkovic,slowenia,21,-1432
65,Stephan Hocke,niemcy,16,-1437
,Taku Takeuchi,japonia,16,-1437
,Jan Mazoch,czechy,16,-1437
68,Roland Mueller,austria,15,-1438
69,Georg Späth,niemcy,14,-1439
70,Emmanuel Chedal,francja,13,-1440
71,Nikolay Karpenko,kazachstan,12,-1441
72,Kevin Horlacher,niemcy,11,-1442
,Seou Choi,korea,11,-1442
74,Heung Chul Choi,korea,10,-1443
,Stefan Read,kanada,10,-1443
76,Lars Bystoel,norwegia,9,-1444
77,Petr Chaadaev,bialorus,7,-1446
,Peter Zonta,slowenia,7,-1446
,Stefan Thurnbichler,austria,7,-1446
,Jon Aaraas,norwegia,7,-1446
81,Primoz Peterka,slowenia,6,-1447
82,Lukas Hlava,czechy,5,-1448
,Jure Sinkovec,slowenia,5,-1448
,Kenshiro Ito,japonia,5,-1448
85,Robert Mateja,polska,4,-1449
,Isak Grimholm,szwecja,4,-1449
87,Andreas Wank,niemcy,3,-1450
88,Florian Liegl,austria,2,-1451
,Pascal Bodmer,niemcy,2,-1451
90,Jens Salumäe,estonia,1,-1452
